# TSV: class<TAB>target<TAB>policy<TAB>expected status<TAB>observations
public-http	http://allowed.example/path	enforce matched	origin response	method authority body forwarded; Proxy-Connection and Proxy-Authorization removed; Connection and X-Remove retained
public-http	http://blocked.example/path	enforce unmatched	403	denial record
public-http	http://blocked.example/path	report unmatched	origin response	exactly one denial record
public-http	http://blocked.example/path	open unmatched	origin response	zero denial records
public-http	https://allowed.example/path	enforce matched	502	untrusted certificate fails verified TLS handshake; zero origin requests
public-http-stream	http://allowed.example/stream	enforce matched	buffered	origin-flushed first chunk reaches client only after origin completion
public-http-cancel	http://allowed.example/cancel	enforce matched	origin cancelled	downstream disconnect cancels origin
public-http-pool	http://allowed.example/pool	enforce then revoked	403	first two requests reuse one origin connection; revoked request makes no origin request or dial
public-http	/origin-form	direct	404	no origin dial
public-connect	missing authority	invalid	400	no origin dial
public-connect	allowed.example	enforce matched	200	default port 443; parser-buffered request bytes are not relayed
public-connect	allowed.example:8443	enforce matched	200	explicit port
public-connect	blocked.example:443	enforce unmatched	403	denial record
public-connect	allowed.example:443	dial failure	502	no tunnel
# <local-port> is replaced with the allocated loopback origin port; localhost spelling is literal.
local-http	http://localhost:<local-port>/path	local grant	origin response	broker only; response chunks flush and downstream cancellation closes origin work
local-connect	localhost:<local-port>	local grant	200	broker only; parser-buffered request bytes are relayed
local-connect	localhost:<local-port>	local revoked	200	new tunnel denied; established tunnel remains usable
tunnel-relay	public CONNECT	upstream write-close	client EOF	client receives data then EOF; upstream read receives EOF
